Word,Count
*,23
날씨,11
온도,11
,10
설정,9
파서,6
뉴스,6
선,5
그리기,5
레이블,5
보여주는,5
해쉬맵,5
점,5
저장,5
메소드,5
주간,4
오전,4
정보를,4
홍대표,4
오후,4
그래프를,4
최저,4
최고,4
프레임,4
그래프의,4
크기,4
색깔,4
패널이다,4
패널,4
기온,4
때,4
설정해줌,4
y축,4
정보,4
아이콘,4
변수,4
셋팅,3
block,3
링크,3
일주일간의,3
생성하고,3
흐리고,3
단어가,3
Auto-generated,3
그릴때,3
체감온도,3
하루의,3
catch,3
날씨를,3
TODO,3
있을,3
비라는,3
x축,2
그림,2
날짜를,2
맑음,2
갯수,2
설정해서,2
일별,2
30을,2
그래프,2
x좌표와,2
달린,2
중기예보,2
스크롤바,2
온도점을,2
dataLength를,2
더해서,2
x축과,2
날씨의,2
나타내,2
예보,2
생성자,2
정보가,2
넣어줌,2
기준점,2
기준,2
사용한다,2
기사,2
마우스,2
반환해주는,2
후,2
변경,2
점들의,2
프레임이다,2
최대,2
저장함,2
위해,2
사용하여,2
\날씨,\,2
온도를,2
저장하는,2
패널을,2
동내,2
날짜별로,2
리스트,2
객체를,2
y좌표를,2
쓰임),2
뉴스파서를,2
한다,2
받아와,2
위치를,1
알아낸,1
최소온도,1
새,1
3~8일까지,1
받고,1
\최소,최대온도를\,1
간격)로,1
주말,1
8~10일,1
탭에,1
제목과,1
저장(그래프,1
수정,1
해쉬맵으로,1
길이만큼,1
예보)를,1
자정~,1
minPoints,1
수,1
길이,1
받아오기,1
클릭되면,1
주었다,1
나눌,1
아이콘도,1
수직,1
시간대가,1
하나의,1
y축을,1
눈이라는,1
기사를,1
x축의,1
바꿔줌,1
후~,1
클릭하면,1
정보와,1
생성하는,1
JTextArea의,1
해당되는,1
사용한,1
날짜,1
등등을,1
눈과,1
수직스크롤,1
파싱된,1
띄움,1
깨끗해짐,1
사용해,1
이용해서,1
(아이콘),1
마크별,1
달아서,1
링크를,1
날씨가,1
2일간의,1
링크와,1
클릭시,1
10일,1
날씨(동네,1
세팅해주는,1
iDay,1
일주일의,1
들어가는,1
배치,1
클래스를,1
데이타,1
사용자가,1
날씨만,1
구름많음,1
주간날씨보기,1
보여줌,1
제목,1
최소온도에,1
\온도,\,1
조절,1
뉴스제목,1
@return,1
기준온도점을,1
프레임의,1
rowPanel,1
보여짐,1
차지하는,1
정하기,1
y축에,1
3~7일까지는,1
\,\,1
반환하는,1
제목은,1
동네,1
마크,1
붙어있는,1
있을때,1
후의,1
제목을,1
내용,1
setzero를,1
띄워서,1
검사,1
들어오는,1
파서에서,1
등,1
10도단위,1
검사함,1
눈옴,1
들어옴),1
10도,1
보여준다,1
오후날씨가,1
마크를,1
이틀간의,1
iterator를,1
*홍대표,1
조정,1
링크가,1
해쉬맵에서,1
(하루1개),1
맞추기,1
위치,1
위해),1
위한,1
항상,1
UI,1
와서,1
시간대별,1
거리,1
생성,1
따라서,1
마찬가지로,1
(그래프,1
템,1
8~10일까지는,1
예보(약,1
따라,1
쓰일,1
똑같이,1
클래스의,1
location,1
불가능하게,1
준다,1
날씨),1
클래스,1
6시면,1
표시,1
추가함으로써,1
\최대,최소\,1
최고온도,1
호출,1
maxPoints,1
\오전,\,1
그려주는,1
알아냄,1
그려준다,1
그렸고,1
파서를,1
자세한,1
열어줌,1
올렸을때,1
판넬과의,1
뉴스),1
열린다,1
걸리는,1
데이터,1
범위,1
호환하기,1
구름만,1
추가해줌,1
받아옴),1
받아서,1
패널선언,1
정보갯수,1
JTBC,1
\최고,\,1
다,1
사용함,1
3~7일,1
중간점을,1
받아온시간,1
이,1
받아와서,1
ArrayList에,1
화질이,1
메소드이다,1
한줄씩,1
단어가잇을,1
함,1
우측,1
\(날씨,\,1
JTextArea를,1
의미하는,1
없으면,1
굵기,1
이틀간,1
길이에,1
스트링으로,1
미리보기,1
끊어서,1
DrawGraph,1
날짜별,1
구름에,1
옴,1
하늘,1
역할을,1
paintComponent,1
계산,1
기사의,1
부분을,1
시간대,1
시간,1
상태,1
구름과,1
몇일,1
JTextArea로,1
사용,1
날짜의,1
시간대별(3시간,1
양에따라,1
ForecastMidParser,1
\주간날씨,\,1
깔끔하게,1
(3일,1
자료의,1
최소,1
흐림,1
추가하는,1
빼줌(파서,1
구름조금,1
들어와,1
안에,1
1일,1
최저온도,1
메인,1
바뀜,1
흐리기만함,1
8일치,1
눈,비옴,1
최저기온,1
비옴,1
우측에,1
단위로,1
MainFrame,1
하나를,1
아이콘으로,1
각,1
번갈아가면서,1
